proname,prokind,calls,db_ref_by_fns,db_ref_by_views
piot_get_day_begin_by_area,f,1907770,4,0
piot_get_day_begin_by_equipment,f,615078,4,0
piot_get_shift_hour_begin_by_equipment,f,172125,1,0
piot_get_day_begin_by_site,f,126228,10,0
piot_get_shift_hour_list_by_equipment,f,3195,2,0
piot_get_shift_hour_begin_by_area,f,1530,1,0
piot_get_shift_hour_begin_by_site,f,1267,1,0
hypertable_detailed_size,f,15,1,0
piot_create_equipment_runtime_shift,f,3,0,0
piot_create_site_runtime_shift,f,1,0,0
get_data_sync_enterprsie_06b,f,0,0,0
get_downtime_sync_enterprsie_06,f,0,0,0
h_piot_downtimes_duration_by_category,f,0,0,0
h_piot_get_downtimes,f,0,1,0
h_piot_get_downtimes_equipment_level,f,0,0,0
h_piot_get_downtimes_events,f,0,0,0
h_piot_get_downtimes_events_2,f,0,0,0
h_piot_get_downtimes_events_3,f,0,0,0
h_piot_get_downtimes_per_category,f,0,0,0
h_piot_get_downtimes_per_category_equipment_level_new_4,f,0,1,0
h_piot_get_downtimes_per_category_equipment_level_new_4_test,f,0,0,0
h_piot_get_downtimes_resumo,f,0,0,0
h_piot_get_downtimes_resumo_2,f,0,0,0
h_piot_get_downtimes_sector_2,f,0,0,0
h_piot_get_downtimes_sector_microstops,f,0,1,0
h_piot_get_equipment_pending_downtime,f,0,0,0
h_piot_get_equipment_pending_downtime_with_event_id,f,0,0,0
h_piot_get_equipment_pending_downtime_with_event_id_cpack,f,0,0,0
h_piot_get_events_timeline,f,0,0,0
h_piot_get_events_timeline2,f,0,0,0
h_piot_get_events_timeline3,f,0,0,0
h_piot_get_events_timeline3_with_event_id,f,0,0,0
h_piot_get_events_timeline3_with_event_id_cpack,f,0,0,0
h_piot_get_events_timeline4,f,0,0,0
h_piot_get_events_timeline5,f,0,0,0
h_piot_get_events_timeline_from_po,f,0,0,0
h_piot_get_events_timeline_from_po_2,f,0,0,0
h_piot_get_events_timeline_full,f,0,0,0
h_piot_get_events_timeline_full_with_filter,f,0,0,0
h_piot_get_events_timeline_full_with_filter_2,f,0,0,0
h_piot_get_events_timeline_full_with_filter_3,f,0,0,0
h_piot_get_hasura_test,f,0,0,0
h_piot_get_mission_control_area_uns,f,0,0,0
h_piot_get_mission_control_area_uns_2,f,0,0,0
h_piot_get_mission_control_timeline,f,0,0,0
h_piot_get_mission_control_uns,f,0,0,0
h_piot_get_mission_control_uns_3,f,0,0,0
h_piot_get_production_health,f,0,0,0
h_piot_get_targets,f,0,0,0
h_piot_home_uns,f,0,0,0
h_piot_machine_speed,f,0,0,0
h_piot_oee_progress_data,f,0,0,0
h_piot_oee_progress_data_teste1,f,0,0,0
h_piot_oee_progress_new,f,0,0,0
h_piot_oee_progress_new2,f,0,0,0
h_piot_oee_score_fix1,f,0,2,0
h_piot_oee_score_fix1a,f,0,2,0
h_piot_oee_score_full,f,0,0,0
h_piot_oee_score_full_2,f,0,0,0
h_piot_oee_score_full_3,f,0,0,0
h_piot_oee_score_full_4,f,0,0,0
h_piot_oee_score_lines,f,0,0,0
h_piot_oee_score_new,f,0,0,0
h_piot_oee_score_with_teams,f,0,1,0
h_piot_oee_score_with_teams_2,f,0,0,0
h_piot_oee_score_with_teams_3,f,0,0,0
h_piot_overview_i_get_events,f,0,0,0
h_piot_overview_i_get_events_2,f,0,0,0
h_piot_overview_i_get_events_3,f,0,0,0
h_piot_overview_i_get_job_info,f,0,0,0
h_piot_overview_i_production_chart,f,0,0,0
h_piot_overview_i_shift_production,f,0,0,0
h_piot_overview_production_chart,f,0,0,0
h_piot_overview_production_chart_v6,f,0,0,0
h_piot_production_flow,f,0,0,0
h_piot_production_orders_merged_new_function,f,0,0,0
h_piot_production_orders_runtimes,f,0,0,0
h_piot_production_orders_with_runtimes,f,0,5,0
h_piot_production_orders_with_runtimes2,f,0,0,0
h_piot_production_orders_with_runtimes3,f,0,0,0
h_piot_production_orders_with_runtimes4,f,0,0,0
h_piot_production_orders_with_runtimes5,f,0,0,0
h_piot_production_orders_with_runtimes6,f,0,0,0
h_piot_set_production_target,f,0,0,0
h_piot_set_scrap_target,f,0,0,0
h_piot_single_period_equipment_chart_3,f,0,0,0
h_piot_single_period_with_teams,f,0,0,0
h_piot_single_period_with_teams_2,f,0,0,0
h_piot_single_period_with_teams_3,f,0,0,0
h_piot_single_period_with_teams_4,f,0,0,0
h_piot_total_production_area_chart_day,f,0,0,0
h_piot_total_production_equipment_chart_day,f,0,0,0
h_piot_total_production_equipment_chart_day_test1,f,0,0,0
h_piot_total_production_equipment_chart_day_test1_tz_fix,f,0,0,0
h_piot_total_production_equipment_chart_day_test1_tz_fix2,f,0,0,0
h_piot_total_production_equipment_from_runtime,f,0,0,0
h_piot_total_production_equipment_from_runtime_test,f,0,0,0
h_piot_total_production_sites_chart_day,f,0,0,0
h_piot_total_production_teams,f,0,0,0
h_piot_total_production_teams_2,f,0,0,0
histogram,a,0,0,2
hypertable_approximate_detailed_size,f,0,1,0
hypertable_approximate_size,f,0,1,0
hypertable_columnstore_stats,f,0,0,0
hypertable_compression_stats,f,0,1,0
hypertable_index_size,f,0,0,0
hypertable_size,f,0,1,0
piot4_13_get_dt5min_po,f,0,0,0
piot4_13_get_microstops_po,f,0,0,0
piot4_13_get_production_po,f,0,0,0
piot4_13_get_production_shift_pos,f,0,0,0
piot_create_area_runtime_1day,f,0,0,0
piot_create_area_runtime_1hour,f,0,0,0
piot_create_area_runtime_1month,f,0,0,0
piot_create_area_runtime_1week,f,0,0,0
piot_create_area_runtime_shift,f,0,0,0
piot_create_equipment_runtime_1day,f,0,0,0
piot_create_equipment_runtime_1hour,f,0,0,0
piot_create_equipment_runtime_1month,f,0,0,0
piot_create_equipment_runtime_1week,f,0,0,0
piot_create_equipment_runtime_shift_1month,f,0,0,0
piot_create_equipment_runtime_shift_1week,f,0,0,0
piot_create_site_runtime_1day,f,0,0,0
piot_create_site_runtime_1hour,f,0,0,0
piot_create_site_runtime_1month,f,0,0,0
piot_create_site_runtime_1week,f,0,0,0
piot_get_day_begin_offset_by_equipment,f,0,0,0
piot_get_day_week_begin_by_packml_topic,f,0,0,0
piot_get_edge_setting,f,0,0,0
piot_get_equipment_chart_data,f,0,0,0
piot_get_equipment_chart_data_1day,f,0,0,0
piot_get_shift_hours_by_enterprise_packml_topic,f,0,0,0
piot_get_shift_hours_by_enterprise_packml_topic_2,f,0,0,0
piot_get_shift_hours_by_equipment,f,0,3,0
piot_get_shift_hours_by_packml_topic,f,0,1,0
piot_get_shift_hours_by_packml_topic_2,f,0,1,0
piot_split_downtime,f,0,0,0
piot_switch_po_number,f,0,0,0
