equipment_runtime_shift_1month equipment_oee_shift_monthly
uns_equipment_current_metrics equipment_live_metrics
equipment_runtime_shift_1week equipment_oee_shift_weekly
uns_equipment_current_shift equipment_live_shift
uns_equipment_current_month equipment_live_month
uns_equipment_current_week equipment_live_week
uns_equipment_current_hour equipment_live_hour
uns_equipment_current_job equipment_live_job
uns_equipment_current_day equipment_live_day
equipment_runtime_1month equipment_oee_monthly
equipment_runtime_shift equipment_oee_shift
equipment_runtime_1week equipment_oee_weekly
equipment_runtime_1hour equipment_oee_hourly
uns_site_current_month site_live_month
uns_area_current_shift area_live_shift
uns_area_current_month area_live_month
equipment_runtime_1day equipment_oee_daily
uns_site_current_week site_live_week
uns_site_current_hour site_live_hour
uns_area_current_week area_live_week
uns_area_current_hour area_live_hour
uns_site_current_day site_live_day
uns_area_current_day area_live_day
site_runtime_1month site_oee_monthly
area_runtime_1month area_oee_monthly
site_runtime_shift site_oee_shift
site_runtime_1week site_oee_weekly
site_runtime_1hour site_oee_hourly
area_runtime_shift area_oee_shift
area_runtime_1week area_oee_weekly
area_runtime_1hour area_oee_hourly
site_runtime_1day site_oee_daily
area_runtime_1day area_oee_daily
